turfID;alutray_ID;alutray_weight;wet_mass_g;dry_mass1;dry_mass2;dry_mass3;dry_mass4;porcelain_ID;porcelain_weight;burn_mass1;burn_mass2;total_cf_mass
;JOA W B1 M;3,8105;37,4763;28,6437;15,4233;15,3687;13,8059;1;9,3818;13,3636;13,3065;6,2782
;JOA W B1 I;3,7979;13,8532;7,0162;5,5596;5,5272;10,0355;2;9,0734;9,2536;9,2446;5,289
;JOA W B1 C;3,8054;10,0347;6,7121;4,9313;4,9184;9,8361;3;8,9878;9,4797;9,4711;4,8329
;JOA W B1 N;3,0897;19,6587;11,4766;6,869;6,8091;10,2775;4;9,1403;9,3869;9,3723;2,3658
;JOA W B2 M;3,8462;28,9105;17,1452;9,9283;9,8679;11,994;5;9,171;11,2751;11,2403;2,8722
;JOA W B2 I;3,8174;26,6596;16,8137;9,1899;9,1347;11,4318;6;9,0239;10,789;10,7597;3,124
;JOA W B2 C;3,7684;17,8505;11,9736;7,0622;7,012;10,7677;7;8,9471;9,758;9,7396;4,1537
;JOA W B2 N;3,7909;29,9046;15,6424;8,2389;8,1722;10,795;8;9,025;9,9503;9,9249;4,2688
;JOA W B3 M;3,8096;23,305;12,818;8,0385;7,9658;10,4456;9;8,9025;9,4856;9,4686;4,7587
;JOA W B3 I;3,7929;24,2841;12,9961;8,1467;8,0592;10,3101;10;9,0325;9,2873;9,2734;2,6775
;JOA W B3 C;3,8165;23,0452;15,5816;8,787;8,7073;11,5078;11;9,4347;10,552;10,5292;3,7697
;JOA W B3 N;3,8005;31,553;14,0992;9,2279;9,1155;10,6812;12;9,0001;9,3286;9,3115;3,6792
;JOA W B4 M;3,8397;25,1491;11,5505;7,8008;7,7171;10,4536;13;9,1189;9,4501;9,4376;5,6596
;JOA W B4 I;3,8129;21,1092;10,3863;7,2713;7,1957;10,0934;14;9,005;9,2023;9,189;3,4858
;JOA W B4 C;3,8273;32,707;19,313;10,417;10,3268;12,5268;16;9,0472;10,6128;10,5849;2,278
;JOA W B4 N;3,8244;33,1202;14,6645;8,7403;8,6354;10,3037;17;8,9689;9,2739;9,2621;2,3349
;JOA W B5 M;3,8391;30,6523;17,9482;9,6918;9,5845;11,2672;18;9,2292;10,1478;10,1244;5,265
;JOA W B5 I;3,8199;28,0646;16,2842;9,4931;9,4062;11,4781;19;9,2658;10,4902;10,4625;2,4383
;JOA W B5 C;3,846;30,6083;15,8257;9,5272;9,4406;11,1259;20;8,8971;10,2161;10,1875;2,3726
;JOA W B5 N;3,8004;31,4722;14,7189;9,1557;9,0691;10,9732;21;8,9459;10,11;10,0868;3,4578
;JOA W B6 M;3,7918;20,1816;10,0676;7,0605;6,9906;10,2743;22;8,9418;9,1928;9,181;2,8958
;JOA W B6 I;3,7778;20,9272;12,3907;7,807;7,7366;10,612;23;8,9877;9,7465;9,726;6,032
;JOA W B6 C;3,791;15,8228;10,2041;7,0316;6,9691;10,5363;24;9,0004;9,4788;9,4611;2,6737
;JOA W B6 N;3,809;23,3052;11,9635;7,0521;6,9957;10,2544;25;8,9922;9,4713;9,4566;3,1682
;JOA W B7 M;3,8167;22,2418;11,7915;7,7922;7,7274;10,6331;26;8,93;9,7896;9,7696;3,9152
;JOA W B7 I;3,7987;30,7962;24,8968;12,4814;12,4092;12,8829;27;8,7875;12,4296;12,3716;6,9949
;JOA W B7 C;3,7814;25,4473;15,9274;9,0345;8,9625;11,3894;29;8,9626;10,667;10,6384;6,931
;JOA W B7 N;3,8188;43,4395;32,0157;15,3046;15,1955;13,099;30;9,2073;12,5225;12,4676;6,6896
;JOA W B8 M;3,8325;19,967;11,1535;7,5164;7,4558;10,7768;31;9,1537;9,8617;9,8445;4,6214
;JOA W B8 I;3,8099;26,6586;17,9444;9,2565;9,1867;11,1119;32;9,2558;10,5166;10,4932;5,9125
;JOA W B8 C;3,8474;30,053;29,5125;13,9121;13,827;12,6607;33;8,9621;12,0033;11,9488;2,8505
;JOA W B8 N;3,809;27,5245;18,3106;11,1308;11,0277;11,366;34;9,0814;10,5395;10,5049;9,414
;JOA W B9 M;3,7878;32,302;21,0633;11,8923;11,8177;12,7673;35;9,479;12,1201;12,0774;5,1139
